airport
barracks
boathouse
bridge
cathedral
chapel
church
cinema
courthouse
depot
factory
farm
fire station
gallery
gas station
granary
gym
hospital
hostel
hotel
house
jail
laboratory
library
lighthouse
mall
mansion
market
mill
monument
museum
observatory
office
opera house
palace
parliament
police station
prison
railway station
restaurant
school
shopping center
skyscraper
stadium
store
temple
university
villa
watermill
workshop
