alligator
ant
badger
bat
bear
beaver
bee
bull
butterfly
camel
canary
cat
caterpillar
cheetah
chicken
cow
crab
crocodile
deer
dinosaur
dog
dolphin
donkey
duck
eagle
elephant
fish
fly
fox
frog
gecko
giraffe
goat
goose
grasshopper
guinea pig
hamster
hedgehog
hen
hippopotamus
horse
jaguar
jellyfish
kangaroo
koala
ladybug
lemming
leopard
lion
lizard
llama
lobster
mammoth
marmot
monkey
mosquito
mouse
ocelot
octoőus
owl
ox
panda
panther
parrot
pelican
penguin
pig
piranha
plankton
platypus
polar bear
puma
rabbit
raccoon
rat
ray
rhinoceros
salmon
scorpion
shark
sheep
shrimp
silverfish
snail
snake
spider
squid
squirrel
swan
tarantula
tiger
turkey
turtle
walrus
whale
wolf
wombat
woodpecker
worm
zebra
